"id","choiceset","choice","quality_1","quality_2","quality_3","angling_1","angling_2","angling_3","access_1","access_2","access_3","surround_1","surround_2","surround_3","price_1","price_2","price_3","age","house_inc"
51,2,1,3,1,1,0,0,1,0,1,0,0,0,0,0,75,650,68,2
51,3,1,3,3,3,0,0,0,0,1,0,0,1,1,0,650,400,68,2
51,4,1,3,3,1,0,1,0,0,0,0,0,0,1,0,200,75,68,2
51,5,1,3,2,2,0,1,1,0,1,0,0,0,0,0,650,75,68,2
51,6,1,3,1,3,0,0,0,0,1,1,0,0,0,0,400,200,68,2
51,7,1,3,3,2,0,0,1,0,0,1,0,1,1,0,900,1200,68,2
51,8,1,3,2,1,0,0,1,0,1,1,0,0,1,0,900,200,68,2
51,9,1,3,2,1,0,1,0,0,0,1,0,0,0,0,1200,1200,68,2
51,10,1,3,1,3,0,1,0,0,0,1,0,1,1,0,200,900,68,2
53,1,1,3,1,2,0,1,1,0,1,1,0,1,1,0,650,1200,63,6
53,2,1,3,2,3,0,1,0,0,1,0,0,0,1,0,75,1200,63,6
53,3,1,3,2,1,0,0,1,0,1,0,0,0,0,0,200,200,63,6
53,4,2,3,2,2,0,0,0,0,0,1,0,1,0,0,75,75,63,6
53,5,1,3,3,1,0,1,0,0,0,1,0,0,1,0,900,650,63,6
53,6,1,3,3,2,0,0,1,0,1,0,0,0,1,0,1200,200,63,6
53,7,1,3,1,1,0,0,1,0,0,0,0,0,1,0,650,900,63,6
53,8,1,3,2,3,0,1,1,0,0,1,0,0,0,0,400,400,63,6
53,9,1,3,3,1,0,0,0,0,0,0,0,1,0,0,1200,400,63,6
53,10,1,3,3,3,0,1,0,0,1,1,0,1,0,0,900,75,63,6
54,1,1,3,1,2,0,1,1,0,1,1,0,1,1,0,650,1200,66,3
54,2,2,3,2,3,0,1,0,0,1,0,0,0,1,0,75,1200,66,3
54,3,2,3,2,1,0,0,1,0,1,0,0,0,0,0,200,200,66,3
54,4,3,3,2,2,0,0,0,0,0,1,0,1,0,0,75,75,66,3
54,5,1,3,3,1,0,1,0,0,0,1,0,0,1,0,900,650,66,3
54,6,1,3,3,2,0,0,1,0,1,0,0,0,1,0,1200,200,66,3
54,7,1,3,1,1,0,0,1,0,0,0,0,0,1,0,650,900,66,3
54,8,1,3,2,3,0,1,1,0,0,1,0,0,0,0,400,400,66,3
54,9,1,3,3,1,0,0,0,0,0,0,0,1,0,0,1200,400,66,3
54,10,3,3,3,3,0,1,0,0,1,1,0,1,0,0,900,75,66,3
63,1,2,3,1,2,0,1,1,0,1,1,0,1,1,0,650,1200,50,7
63,2,2,3,2,3,0,1,0,0,1,0,0,0,1,0,75,1200,50,7
63,3,2,3,2,1,0,0,1,0,1,0,0,0,0,0,200,200,50,7
63,4,2,3,2,2,0,0,0,0,0,1,0,1,0,0,75,75,50,7
63,5,3,3,3,1,0,1,0,0,0,1,0,0,1,0,900,650,50,7
63,6,3,3,3,2,0,0,1,0,1,0,0,0,1,0,1200,200,50,7
